sample_id,start_time,end_time,peak_time,peak_flux,energy,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24
0,0.3548812876907237,0.6240880242506951,0.05712456540698018,0.2491119175342555,0.02152634867438046,0.39561385384840747,0.4881154648196583,0.04518260601070658,0.20251065159703824,0.0025011732620581206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9269404833069095,0.6964029461070778,0.07034468551055421,0.2344787492015183,0.027727139617369334,0.7730228871286347,0.3277618049441623,0.08446168865063763,0.22729195897862148,0.04627637883826066,0.5096815163556436,0.24620912079075805,0.03524927908616101,0.24809612370018952,0.03308078927605038,0.2662484569820953,0.35058707063159467,0.04263744577272691,0.09027590063420236,0.09975200984677987,0.0,0.0,0.0,0.0,0.0
2,0.7758629943798734,0.4427954422147532,0.07490852633790807,0.17005660018090896,0.09718593119369656,0.7264616558627266,0.44339443421030467,0.04933941144857648,0.08391534900901866,0.058693532905297476,0.6250456159542352,0.6526915609384586,0.05182840245655956,0.10306642630259859,0.09472191778243261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7562720809915033,0.6654864617875014,0.057793674616879856,0.17500492530006323,0.07491651755474295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5545335953385075,0.4159026565087872,0.036030683353521574,0.2742591474022279,0.08762721743051671,0.2589482856006097,0.7104983979242439,0.0121653742474301,0.2481572146718885,0.071625867429727,0.3777970163264076,0.6335603615609704,0.042388092838442706,0.27843848466015025,0.09246525050621716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.47007820221490415,0.5788814299590292,0.014225863513189125,0.2169355582671565,0.04435273056430481,0.8816002520489923,0.5807967440373487,0.07504220939336455,0.15213705937830707,0.07144242372644775,0.22503865481304353,0.38665496172197666,0.011703060370166532,0.29048797696355494,0.058471590494735354,0.9837498306908525,0.5995942431516518,0.07830533952896039,0.27049166482732573,0.025741495703106923,0.7027848972427104,0.656475934201652,0.05553990157556088,0.2820164016792114,0.07005574483446285
6,0.3685885714145717,0.35975773792768273,0.04516381698162013,0.05944101635965439,0.050020736909856325,0.5440352461058808,0.5537190715353923,0.07859768886820623,0.11086738814969695,0.0724343840528707,0.5232961758746688,0.6329000639773598,0.0334357396348021,0.2641798947046775,0.05420445565163771,0.5164484799607612,0.32450468096035934,0.047603083151699144,0.24829828420297523,0.023792168804531312,0.0,0.0,0.0,0.0,0.0
7,0.7878841355618167,0.28136415646809215,0.015723138073886048,0.1694267864700022,0.07285337025012026,0.6814169926041536,0.24582616317598247,0.05385648809783076,0.2813763514939136,0.02077849784835284,0.3739569411196942,0.3160106202340033,0.01250131118924739,0.1174031812543674,0.08668085979780234,0.3618016398502656,0.6485564718245458,0.044674886322713825,0.27250974475472356,0.08474340673722541,0.0,0.0,0.0,0.0,0.0
8,0.6426837014541478,0.42062372061079023,0.05492827511110964,0.16481704433056704,0.07015758812476192,0.5645182520114946,0.6428636790191327,0.018490619251109994,0.10437332339576248,0.09217434024751964,0.6287880335183615,0.6353294221820551,0.04649335998744151,0.27442232374835773,0.07794648574542262,0.24541202223348818,0.7931268756624696,0.09800368203373316,0.17714389210387899,0.05240986826694595,0.616957155266201,0.7889596341297964,0.06319028383612707,0.1519151085856154,0.02802218980751219
9,0.8675262436185867,0.7080801255122959,0.04398172633661092,0.12406367060332836,0.015182503654385261,0.692777314272123,0.2744294210441146,0.0998670187150292,0.27413758331539106,0.006976670084770398,0.4624809324541899,0.6514062865909129,0.039447299706564694,0.16011757966506673,0.0020376159096886282,0.4694961400353246,0.6355328459203049,0.06973857244921534,0.276228400284844,0.07647473214317184,0.8091911099577145,0.5444258647417421,0.044970805764403564,0.1272352117133907,0.019716021867258172
